     Year   ,Jan ,Feb ,Mar ,Apr ,May ,  Jun,Jul,Aug ,Sep ,Oct ,Nov ,Dec ,Annual 
1926,29.2,11.5,60.1,42.7,58.6,99.0,320.9,335.5,211.0,57.3,10.6,10.4,1246.8
1927,14.6,37.0,23.1,37.4,51.8,179.4,351.0,259.3,173.1,69.2,55.9,10.8,1262.6
1928,22.9,41.9,22.7,34.6,54.3,179.1,306.6,232.8,144.4,128.8,23.6,26.6,1218.4
1929,31.2,20.6,14.4,55.2,65.7,194.8,298.8,246.9,126.6,92.4,18.5,43.4,1208.5
1930,25.9,23.6,25.7,53.2,56.7,182.2,292.5,214.5,176.7,94.8,54.1,9.7,1209.4
1921-30*,25.6,23.3,23.2,40.6,61.5,167.9,315.9,256.9,180.4,77.1,35.0,18.0,1225.3
1931,14.5,34.7,19.7,37.4,59.3,134.5,325.9,309.0,193.6,124.5,40.6,21.0,1314.6
1932,10.3,25.2,22.5,31.3,85.3,142.5,335.5,239.1,182.0,69.2,59.9,15.9,1218.9
1933,18.0,31.0,26.6,50.1,103.2,218.2,284.0,316.5,215.5,94.4,20.0,16.0,1393.5
1934,24.9,11.7,17.2,47.2,48.0,215.2,285.5,300.7,169.0,63.5,32.9,11.7,1227.6
1935,29.8,21.9,20.9,44.2,35.8,159.6,318.4,248.2,187.1,49.1,17.2,11.3,1143.4
1936,13.0,44.6,40.3,34.3,82.9,249.0,296.4,241.8,194.5,66.9,55.0,23.0,1341.7
1937,7.0,53.8,20.3,56.1,57.1,163.0,339.7,210.5,175.0,95.4,19.8,20.4,1218.1
1938,32.3,32.8,33.2,35.3,70.6,275.5,304.5,251.5,170.7,77.3,17.9,5.2,1306.7
1939,14.0,35.0,32.8,42.3,40.2,172.2,277.0,234.4,155.8,91.8,28.9,1.6,1125.9
1940,14.4,27.0,49.6,28.1,81.2,175.5,313.8,282.2,125.5,60.9,38.8,17.4,1214.6
1931-40*,17.8,31.8,28.3,40.6,66.4,190.5,308.1,263.4,176.9,79.3,33.1,14.4,1250.5
1941,23.9,16.9,19.2,31.3,80.3,172.6,240.8,230.7,156.1,62.7,26.8,19.7,1080.9
1942,23.1,45.6,20.0,46.6,65.8,190.7,345.1,293.4,184.4,35.5,18.2,24.2,1292.7
1943,58.5,9.8,30.0,50.1,95.7,168.5,312.5,234.8,212.8,87.5,16.7,5.2,1282.1
1944,29.3,39.8,56.7,33.2,61.1,157.1,354.7,291.6,158.3,92.6,29.0,15.6,1319.1
1945,34.4,9.9,20.1,47.0,53.8,158.5,335.0,247.7,215.5,81.9,16.8,5.1,1225.8
1946,4.4,18.9,24.2,48.0,71.3,213.8,319.3,296.6,145.0,83.4,72.7,34.9,1332.6
1947,22.5,18.5,26.0,39.3,55.0,130.4,315.0,291.1,238.9,69.4,7.6,23.0,1236.6
